cbsa,metro_name_x,year,qtr,hpi_at_sa,hpi_po_sa,RegionID,RegionName_x,RegionType,StateName,zhvi_qtr,zhvi_yoy,zhvi_qoq,RegionName_y,zori_qtr,unemployment_rate,qcew_avg_wkly_wage,qcew_employment,RegionName_x_x,inventory_qtr,metro_name_y,population,pop_yoy_growth,pop_velocity_3yr,pop_acceleration,sp500_qtr,index_sa,RegionName_y_y,median_income,income_moe,price_to_income_ratio,affordability_burden,hpi_3yr_chg,is_unaffordable,collapse_onset,prev_unaffordable,next_qtr_unaffordable,collapse_onset_confirmed,price_to_income_lag,price_to_income_5yr_chg,zhvi_yoy_fixed,zhvi_qoq_fixed,zhvi_yoy_lag,zhvi_qoq_lag,three-year_home_price_growth_trend,hpi_yoy,hpi_yoy_lag,hpi_3yr_chg_lag,pop_yoy_fixed,pop_velocity_fixed,pop_velocity_lag,pop_acceleration_fixed,pop_acceleration_lag,zori_yoy_fixed,zori_yoy_lag,unemployment_rate_lag,inv_qoq_fixed,inv_qoq_lag,sp500_yoy_fixed,sp500_yoy_lag,qcew_wage_yoy_fixed,qcew_wage_yoy_lag,qcew_emp_yoy_fixed,qcew_emp_yoy_lag
10740,"Albuquerque, NM",2019,2,0.72,242.87,394312.0,"Albuquerque, NM",msa,NM,207309.676604236,0.0625125654273304,0.0234455748074416,"Albuquerque, NM",966.36634018729,4.63333333333333,904.0,382401.0,"Albuquerque, NM",3737.66666666667,"Albuquerque, NM",918018.0,0.0033564785719828,0.0096575480320313,0.000467112993797425,2882.32777777778,0.72,,54072.0,608.0,3.833956143738645,False,-1.3698630136986356,False,False,False,False,False,3.7523112867237978,0.33787022872021044,0.06251256542733041,0.023445574807440694,0.03963304101704135,0.010406853524846493,0.0002223442920775912,-0.040000000000000036,0.013513513513513598,8.69565217391306,0.003356478571982846,0.0,0.0,-0.000467112993797425,0.0004914911181435055,0.04456680883980546,0.03243975019776246,4.43333333333333,0.05484477892756545,0.08063973063972996,0.06629220382021028,0.12725771232385252,0.041474654377880116,0.022379269729092988,0.012205193361391142,0.01080666004907016
10740,"Albuquerque, NM",2019,3,0.72,246.77,394312.0,"Albuquerque, NM",msa,NM,210374.568625368,0.0656417520460159,0.0147841242692324,"Albuquerque, NM",984.473562333537,4.9,917.0,386932.0,"Albuquerque, NM",3928.33333333333,"Albuquerque, NM",918018.0,0.0033564785719828,0.0096575480320313,0.000467112993797425,2957.8528125,0.72,,54072.0,608.0,3.890637827810475,False,2.857142857142869,False,False,False,False,False,3.796604611226701,0.3698324953000913,0.06564175204601597,0.014784124269235255,0.04315622630764149,0.011804277715343092,-0.0002161843238481683,-0.027027027027027084,-0.02631578947368418,4.225352112676051,0.003356478571982846,0.0,0.0,0.0,0.0,0.05301176332203705,0.03421650768124085,4.83333333333333,0.05101221796129307,0.0829568468608819,0.037988254372415486,0.15500598332389925,0.04680365296803646,0.029377203290246845,0.019288216854139728,0.009668196023671749
10740,"Albuquerque, NM",2019,4,0.72,249.53,394312.0,"Albuquerque, NM",msa,NM,213379.85231849,0.0692940667452024,0.0142853944407813,"Albuquerque, NM",986.545795869518,4.3,961.0,390852.0,"Albuquerque, NM",3566.0,"Albuquerque, NM",918018.0,0.0033564785719828,0.0096575480320313,0.000467112993797425,3082.755625,0.72,,54072.0,608.0,3.9462171238069614,False,0.0,False,False,False,False,False,3.837687552432035,0.4118355249201682,0.06929406674520244,0.014285394440778587,0.04425518821506236,0.010820969105882261,-0.0001771629089829353,-0.040000000000000036,-0.03846153846153855,1.3513513513513598,0.003356478571982846,0.0,0.0,0.0,0.0,0.05222559615551425,0.03927298453418682,4.46666666666667,-0.09223589308442859,-0.07437243760339374,0.14221561000009708,0.036741721225998614,0.042299349240780826,0.03712035995500562,0.02216398998893765,0.013445391514534721
10740,"Albuquerque, NM",2020,1,0.73,256.84,394312.0,"Albuquerque, NM",msa,NM,217800.512553589,0.0752366913836979,0.0207173272783976,"Albuquerque, NM",995.056773353232,4.96666666666667,950.0,384696.0,"Albuquerque, NM",2885.66666666667,"Albuquerque, NM",917692.0,-0.000355112862710727,0.0058982079575933,-0.0037115914346935,3055.86919354839,0.73,,55370.0,847.0,3.933547273859292,False,-5.1948051948051965,False,False,False,False,False,3.746126064847167,0.27210382939235345,0.07523669138369793,0.02071732727840092,0.04897612974293386,0.015076020590644612,0.00019271436821811501,-0.03947368421052633,-0.02564102564102566,2.7027027027026973,-0.00035511286271072695,-0.003711591434693573,0.000467112993797425,-0.003711591434693573,0.000467112993797425,0.05263128412741325,0.04286242454270428,4.63333333333333,-0.1907833239857908,-0.17398399254021435,0.12306660146926007,-0.004562795426326538,0.03825136612021862,0.02578475336322872,0.013299196358722787,0.012319113023862238
10740,"Albuquerque, NM",2020,2,0.71,260.41,394312.0,"Albuquerque, NM",msa,NM,222457.845457046,0.0730702449636664,0.0213834799966834,"Albuquerque, NM",1004.99944616547,9.2,995.0,349541.0,"Albuquerque, NM",2851.0,"Albuquerque, NM",917692.0,-0.000355112862710727,0.0058982079575933,-0.0037115914346935,2931.68761904762,0.71,,55370.0,847.0,4.017660203305869,False,-4.054054054054057,False,False,False,False,False,3.833956143738645,0.3266299379440669,0.07307024496366643,0.021383479996682997,0.06251256542733041,0.023445574807440694,0.0011473239976360866,-0.01388888888888895,-0.040000000000000036,-1.3698630136986356,-0.00035511286271072695,0.0,0.0,0.003711591434693573,-0.000467112993797425,0.0399777024215191,0.04456680883980546,4.63333333333333,-0.012013399561050075,0.05484477892756545,0.017124992393438232,0.06629220382021028,0.10066371681415931,0.041474654377880116,-0.0859307376288242,0.012205193361391142
10740,"Albuquerque, NM",2020,3,0.73,269.54,394312.0,"Albuquerque, NM",msa,NM,228331.757335014,0.0853581724586867,0.02640460652624,"Albuquerque, NM",1038.46912314558,8.7,985.0,359649.0,"Albuquerque, NM",2767.0,"Albuquerque, NM",917692.0,-0.000355112862710727,0.0058982079575933,-0.0037115914346935,3319.8340625,0.73,,55370.0,847.0,4.123744940130287,False,-3.9473684210526327,False,False,False,False,False,3.890637827810475,0.3799869909223115,0.08535817245868671,0.026404606526238217,0.06564175204601597,0.014784124269235255,0.0024103845650402197,0.01388888888888884,-0.027027027027027084,2.857142857142869,-0.00035511286271072695,0.0,0.0,0.0,0.0,0.05484714153628989,0.05301176332203705,4.9,-0.029463346194317785,0.05101221796129307,0.12237973724394036,0.037988254372415486,0.07415485278080691,0.04680365296803646,-0.07051109755719354,0.019288216854139728
10740,"Albuquerque, NM",2020,4,0.73,280.86,394312.0,"Albuquerque, NM",msa,NM,238305.726600409,0.116814563376465,0.0436819187212794,"Albuquerque, NM",1055.41388697859,7.46666666666667,1099.0,358124.0,"Albuquerque, NM",2456.66666666667,"Albuquerque, NM",917692.0,-0.000355112862710727,0.0058982079575933,-0.0037115914346935,3554.5015625,0.73,,55370.0,847.0,4.303878031432346,False,-6.410256410256421,False,False,False,False,False,3.9462171238069614,0.4403177946611403,0.11681456337646501,0.04368191872127958,0.06929406674520244,0.014285394440778587,0.003515422816892878,0.01388888888888884,-0.040000000000000036,0.0,-0.00035511286271072695,0.0,0.0,0.0,0.0,0.06980729267451125,0.05222559615551425,4.3,-0.11215516202866993,-0.09223589308442859,0.15302735438200687,0.14221561000009708,0.1436004162330906,0.042299349240780826,-0.08373501990523269,0.02216398998893765
10740,"Albuquerque, NM",2021,1,0.77,291.39,394312.0,"Albuquerque, NM",msa,NM,248827.88808817,0.142457770970336,0.0441540437901635,"Albuquerque, NM",1076.0287224208,7.43333333333333,990.0,363350.0,"Albuquerque, NM",1929.33333333333,"Albuquerque, NM",919732.0,0.0022229680546415,0.0052298111256716,0.0025780809173522,3865.7068852459,0.77,,58335.0,954.0,4.265499067252422,False,-1.2820512820512886,False,False,False,False,False,3.933547273859292,0.37036106977045824,0.14245777097033607,0.044154043790162856,0.07523669138369793,0.02071732727840092,0.004278936779317393,0.0547945205479452,-0.03947368421052633,-5.1948051948051965,0.0022229680546415054,0.0025780809173522323,-0.003711591434693573,0.0025780809173522323,-0.003711591434693573,0.0813742001822686,0.05263128412741325,4.96666666666667,-0.2146540027137066,-0.1907833239857908,0.26501058795554977,0.12306660146926007,0.042105263157894646,0.03825136612021862,-0.05548796972154635,0.013299196358722787
10740,"Albuquerque, NM",2021,2,0.84,303.75,394312.0,"Albuquerque, NM",msa,NM,261943.090950475,0.177495405533149,0.0527079298187723,"Albuquerque, NM",1134.39302879849,7.1,1015.0,367119.0,"Albuquerque, NM",2041.66666666667,"Albuquerque, NM",919732.0,0.0022229680546415,0.0052298111256716,0.0025780809173522,4183.62634920635,0.84,,58335.0,954.0,4.490324692731208,False,11.99999999999999,False,False,False,False,False,4.017660203305869,0.4185301427993635,0.17749540553314902,0.05270792981877381,0.07307024496366643,0.021383479996682997,0.0044890809987658984,0.18309859154929575,-0.01388888888888895,-4.054054054054057,0.0022229680546415054,0.0,0.0,-0.0025780809173522323,0.003711591434693573,0.12874990441707745,0.0399777024215191,9.2,0.05822391154112294,-0.012013399561050075,0.42703687869904483,0.017124992393438232,0.0201005025125629,0.10066371681415931,0.05028880732160168,-0.0859307376288242
10740,"Albuquerque, NM",2021,3,0.88,316.09,394312.0,"Albuquerque, NM",msa,NM,272378.487703418,0.1929067199521332,0.0398384119049604,"Albuquerque, NM",1208.26235615588,6.56666666666667,1036.0,375947.0,"Albuquerque, NM",2416.66666666667,"Albuquerque, NM",919732.0,0.0022229680546415,0.0052298111256716,0.0025780809173522,4421.670625,0.88,,58335.0,954.0,4.6692120974272395,False,18.918918918918926,False,False,False,False,False,4.123744940130287,0.5106869725560008,0.19290671995213327,0.039838411904958404,0.08535817245868671,0.026404606526238217,0.004767542785852549,0.20547945205479445,0.01388888888888884,-3.9473684210526327,0.0022229680546415054,0.0,0.0,0.0,0.0,0.16350340055945733,0.05484714153628989,8.7,0.18367346938775486,-0.029463346194317785,0.3318950711862574,0.12237973724394036,0.05177664974619289,0.07415485278080691,0.04531640571779705,-0.07051109755719354
