cbsa,metro_name_x,year,qtr,hpi_at_sa,hpi_po_sa,RegionID,RegionName_x,RegionType,StateName,zhvi_qtr,zhvi_yoy,zhvi_qoq,RegionName_y,zori_qtr,metro_name_y,population,pop_yoy_growth,pop_velocity_3yr,pop_acceleration,index_sa,RegionName,median_income,income_moe,price_to_income_ratio,affordability_burden,hpi_3yr_chg,is_unaffordable,collapse_onset,prev_unaffordable,price_to_income_lag,price_to_income_5yr_chg,zhvi_yoy_fixed,zhvi_qoq_fixed,zhvi_yoy_lag,zhvi_qoq_lag,three-year_home_price_growth_trend,hpi_yoy,hpi_yoy_lag,hpi_3yr_chg_lag,pop_yoy_fixed,pop_velocity_fixed,pop_velocity_lag,pop_acceleration_fixed,pop_acceleration_lag,zori_yoy_fixed,zori_yoy_lag,cum_onset
12420,"Austin-Round Rock-San Marcos, TX",2017,1,1.48,405.37,394355.0,"Austin, TX",msa,TX,301294.7648184207,0.0592437076708907,0.0172070154769792,"Austin, TX",1286.38339027228,"Austin-Round Rock-Georgetown, TX",2115475.0,0.0259255990254197,0.0890661205570031,-0.0039834879787468,1.48,"Austin, TX",69717.0,545.0,4.321682872447476,False,27.586206896551737,False,False,False,4.3036825339094475,0.9551065057263424,0.05924370767089071,0.017207015476979226,0.08840338479118892,0.02108051509500042,-0.00011408642186395081,0.08823529411764697,0.14285714285714302,46.23655913978495,0.025925599025419688,-0.003983487978746814,-0.000808037147749685,-0.003983487978746814,-0.000808037147749685,0.027348726128026968,0.04259563213933082,0
12420,"Austin-Round Rock-San Marcos, TX",2017,2,1.47,414.19,394355.0,"Austin, TX",msa,TX,304927.0063814552,0.0539498903423627,0.0120554420028625,"Austin, TX",1314.90941567537,"Austin-Round Rock-Georgetown, TX",2115475.0,0.0259255990254197,0.0890661205570031,-0.0039834879787468,1.47,"Austin, TX",69717.0,545.0,4.37378266967103,False,28.947368421052634,False,False,False,4.3774426189232445,1.0429093721806697,0.05394989034236275,0.01205544200286246,0.08003337113255027,0.01713883039295494,-0.0019114718557698767,0.09701492537313428,0.09836065573770503,41.052631578947384,0.025925599025419688,0.0,0.0,0.003983487978746814,0.000808037147749685,0.03175354051265655,0.03863620049792438,0
12420,"Austin-Round Rock-San Marcos, TX",2017,3,1.5,419.01,394355.0,"Austin, TX",msa,TX,306276.5763379224,0.0452383827887965,0.0044258787454822,"Austin, TX",1315.40413067149,"Austin-Round Rock-Georgetown, TX",2115475.0,0.0259255990254197,0.0890661205570031,-0.0039834879787468,1.5,"Austin, TX",69717.0,545.0,4.393140501426085,False,29.31034482758621,False,False,False,4.433461783984696,1.1042402153580873,0.04523838278879655,0.004425878745482281,0.07225115495321788,0.012797235723727596,-0.003293138000652206,0.11940298507462677,0.0551181102362206,32.67326732673268,0.025925599025419688,0.0,0.0,0.0,0.0,0.023956719124836656,0.03169608951280356,0
12420,"Austin-Round Rock-San Marcos, TX",2017,4,1.51,428.26,394355.0,"Austin, TX",msa,TX,308834.19235318364,0.0426610209113687,0.0083506745629784,"Austin, TX",1302.99727979677,"Austin-Round Rock-Georgetown, TX",2115475.0,0.0259255990254197,0.0890661205570031,-0.0039834879787468,1.51,"Austin, TX",69717.0,545.0,4.429826188062935,False,25.83333333333333,False,False,False,4.481534805104641,1.1535583243675704,0.0426610209113687,0.008350674562978444,0.06327728199217142,0.010843224428730203,-0.004497646325296912,0.10218978102189769,0.03007518796992481,25.688073394495415,0.025925599025419688,0.0,0.0,0.0,0.0,0.0259144301354175,0.022353338234217368,0
12420,"Austin-Round Rock-San Marcos, TX",2018,1,1.56,430.7,394355.0,"Austin, TX",msa,TX,312073.53523600457,0.0357748347339517,0.0104889386053355,"Austin, TX",1312.40586933344,"Austin-Round Rock-Georgetown, TX",2165497.0,0.0236457533178127,0.081594438733871,-0.0022798457076069,1.56,"Austin, TX",73213.0,538.0,4.262542652752988,False,31.092436974789916,False,False,False,4.321682872447476,0.9953817811432208,0.03577483473395171,0.010488938605335507,0.05924370767089071,0.017207015476979226,-0.0053702368148028255,0.05405405405405417,0.08823529411764697,27.586206896551737,0.023645753317812712,-0.0022798457076069756,-0.003983487978746814,-0.0022798457076069756,-0.003983487978746814,0.02022917837554794,0.027348726128026968,0
12420,"Austin-Round Rock-San Marcos, TX",2018,2,1.51,435.6,394355.0,"Austin, TX",msa,TX,314719.8779736604,0.0321154616916894,0.0084798691297376,"Austin, TX",1337.54332003754,"Austin-Round Rock-Georgetown, TX",2165497.0,0.0236457533178127,0.081594438733871,-0.0022798457076069,1.51,"Austin, TX",73213.0,538.0,4.298688456608258,False,23.77049180327868,False,False,False,4.37378266967103,1.0176257596519553,0.03211546169168944,0.008479869129737638,0.05394989034236275,0.01205544200286246,-0.005944030307041632,0.027210884353741527,0.09701492537313428,28.947368421052634,0.023645753317812712,0.0,0.0,0.0022798457076069756,0.003983487978746814,0.017213280316001667,0.03175354051265655,0
12420,"Austin-Round Rock-San Marcos, TX",2018,3,1.57,448.43,394355.0,"Austin, TX",msa,TX,317181.3600814441,0.0356043673790129,0.0078211841070605,"Austin, TX",1356.35684860514,"Austin-Round Rock-Georgetown, TX",2165497.0,0.0236457533178127,0.081594438733871,-0.0022798457076069,1.57,"Austin, TX",73213.0,538.0,4.332309290446288,False,23.62204724409449,False,False,False,4.393140501426085,0.9859507044796119,0.03560436737901296,0.007821184107060564,0.04523838278879655,0.004425878745482281,-0.006473258078953999,0.046666666666666634,0.11940298507462677,29.31034482758621,0.023645753317812712,0.0,0.0,0.0,0.0,0.031133183315111168,0.023956719124836656,0
12420,"Austin-Round Rock-San Marcos, TX",2018,4,1.58,451.16,394355.0,"Austin, TX",msa,TX,319438.1248614048,0.0343353578417719,0.0071150611731447,"Austin, TX",1359.19464270978,"Austin-Round Rock-Georgetown, TX",2165497.0,0.0236457533178127,0.081594438733871,-0.0022798457076069,1.58,"Austin, TX",73213.0,538.0,4.363133936068797,False,18.796992481203013,False,False,False,4.429826188062935,0.9593727627673112,0.034335357841771996,0.007115061173144754,0.0426610209113687,0.008350674562978444,-0.006757821817433076,0.04635761589403975,0.10218978102189769,25.83333333333333,0.023645753317812712,0.0,0.0,0.0,0.0,0.04312930179084895,0.0259144301354175,0
12420,"Austin-Round Rock-San Marcos, TX",2019,1,1.63,461.1,394355.0,"Austin, TX",msa,TX,321441.88312302274,0.0300196807138208,0.0062727586523596,"Austin, TX",1372.89664980883,"Austin-Round Rock-Georgetown, TX",2227083.0,0.0284396607337716,0.0800512702132281,0.0047939074159588,1.63,"Austin, TX",76844.0,621.0,4.183044650500009,False,19.852941176470562,False,False,False,4.262542652752988,0.785907304062214,0.030019680713820884,0.006272758652359656,0.03577483473395171,0.010488938605335507,-0.006701200599300674,0.04487179487179471,0.05405405405405417,31.092436974789916,0.028439660733771577,0.004793907415958865,-0.0022798457076069756,0.004793907415958865,-0.0022798457076069756,0.04609151931491495,0.02022917837554794,0
12420,"Austin-Round Rock-San Marcos, TX",2019,2,1.57,464.9,394355.0,"Austin, TX",msa,TX,322971.64687432477,0.0262194080456366,0.0047590679112483,"Austin, TX",1400.18877097048,"Austin-Round Rock-Georgetown, TX",2227083.0,0.0284396607337716,0.0800512702132281,0.0047939074159588,1.57,"Austin, TX",76844.0,621.0,4.202952044067524,False,17.164179104477604,False,False,False,4.298688456608258,0.7323506689767068,0.026219408045636605,0.00475906791124836,0.03211546169168944,0.008479869129737638,-0.006429051028668186,0.039735099337748325,0.027210884353741527,23.77049180327868,0.028439660733771577,0.0,0.0,-0.004793907415958865,0.0022798457076069756,0.04683620335465588,0.017213280316001667,0
