cbsa,year,qtr,index_sa,metro_name,population,median_income,zhvi_qtr,zori_qtr,inventory_qtr,unemployment_rate,qcew_avg_wkly_wage,qcew_employment,sp500_qtr,price_to_income_ratio,is_unaffordable,prev_unaffordable,next_unaffordable,collapse_onset,collapse_onset_confirmed,price_to_income_lag,price_to_income_5yr_chg,zhvi_yoy_lag,zhvi_qoq_lag,three-year_home_price_growth_trend,hpi_yoy_lag,hpi_3yr_chg_lag,pop_velocity_lag,pop_acceleration_lag,zori_yoy_lag,unemployment_rate_lag,inv_qoq_lag,sp500_yoy_lag,qcew_wage_yoy_lag,qcew_emp_yoy_lag
10740,2019,2,0.72,"Albuquerque, NM",918018.0,54072.0,208214.23819088007,966.3663401872894,3737.6666666666665,4.633333333333334,904.0,382401.0,2882.3277777777776,3.8506849791182143,False,False,False,False,False,3.7686838782337393,0.33934446974541377,0.03963304101703824,0.010406853524844273,0.00022234429207773312,0.013513513513513598,8.69565217391306,0.0,0.0004914911181435055,0.032439750197761574,4.433333333333334,0.08063973063973062,0.1272577123238514,0.022379269729092988,0.01080666004907016
10740,2019,3,0.72,"Albuquerque, NM",918018.0,54072.0,211292.50336291755,984.473562333537,3928.3333333333335,4.8999999999999995,917.0,386932.0,2957.8528125,3.9076139843711633,False,False,False,False,False,3.8131704693537456,0.3714461984046413,0.04315622630764149,0.01180427771534287,-0.00021618432384808514,-0.02631578947368418,5.714285714285716,0.0,0.0,0.03421650768124085,4.833333333333333,0.08295684686088167,0.15500598332389726,0.029377203290246845,0.009668196023671749
10740,2019,4,0.72,"Albuquerque, NM",918018.0,54072.0,214310.900115837,986.5457958695179,3566.0,4.3,961.0,390852.0,3082.755625,3.9634357914602196,False,False,False,False,False,3.854432669198081,0.4136325013177955,0.044255188215057695,0.01082096910588115,-0.00017716290898310856,-0.05128205128205132,0.0,0.0,0.0,0.03927298453418682,4.466666666666667,-0.07437243760339485,0.03674172122599795,0.03712035995500562,0.013445391514534721
10740,2020,1,0.73,"Albuquerque, NM",917747.0,55370.0,218750.8491728648,995.0567733532321,2885.6666666666665,4.966666666666666,950.0,384696.0,3055.869193548387,3.9507106587116634,False,False,False,False,False,3.7624716681614547,0.27329110957956404,0.04897612974293297,0.015076020590647499,0.00019271436821797296,-0.02564102564102566,2.7027027027026973,0.000467112993797425,0.000467112993797425,0.0428624245427045,4.633333333333333,-0.1739839925402129,-0.004562795426325428,0.02578475336322872,0.012319113023862238
10740,2020,2,0.71,"Albuquerque, NM",917747.0,55370.0,223428.50358041027,1004.9994461654725,2851.0,9.200000000000001,995.0,349541.0,2931.687619047619,4.035190601054908,False,False,False,False,False,3.8506849791182143,0.32805513381409934,0.06251256542733286,0.023445574807441805,0.00114732399763603,-0.040000000000000036,-1.3698630136986356,0.0,-0.000467112993797425,0.04456680883980524,4.633333333333334,0.05484477892756345,0.0662922038202094,0.041474654377880116,0.012205193361391142
10740,2020,3,0.72,"Albuquerque, NM",917747.0,55370.0,229328.04530419759,1038.469123145582,2767.0,8.700000000000001,985.0,359649.0,3319.8340625,4.141738221134145,False,False,False,False,False,3.9076139843711633,0.38164500149393854,0.06564175204601552,0.014784124269232146,0.00241038456504019,-0.027027027027027084,2.857142857142869,0.0,0.0,0.053011763322037275,4.8999999999999995,0.05101221796129507,0.03798825437241593,0.04680365296803646,0.019288216854139728
10740,2020,4,0.73,"Albuquerque, NM",917747.0,55370.0,239345.53433968546,1055.4138869785913,2456.6666666666665,7.466666666666666,1099.0,358124.0,3554.5015625,4.322657293474543,False,False,False,False,False,3.9634357914602196,0.44223904874580855,0.06929406674520666,0.014285394440781696,0.003515422816893028,-0.027027027027027084,0.0,0.0,0.0,0.05222559615551381,4.3,-0.09223589308442937,0.14221561000009686,0.042299349240780826,0.02216398998893765
10740,2021,1,0.77,"Albuquerque, NM",919682.0,58335.0,249913.60754390006,1076.0287224208002,1929.3333333333333,7.433333333333334,990.0,363350.0,3865.7068852459015,4.284110869013458,False,False,False,False,False,3.9507106587116634,0.37197707922254963,0.07523669138369571,0.020717327278397812,0.004278936779317321,-0.03947368421052633,-5.1948051948051965,-0.0036516797554019265,-0.0036516797554019265,0.052631284127413025,4.966666666666666,-0.1907833239857918,0.12306660146925985,0.03825136612021862,0.013299196358722787
10740,2021,2,0.84,"Albuquerque, NM",919682.0,58335.0,263086.03643107996,1134.3930287984904,2041.6666666666667,7.1000000000000005,1015.0,367119.0,4183.62634920635,4.509917484033256,False,False,False,False,False,4.035190601054908,0.42035633005809814,0.07307024496366354,0.02138347999668344,0.00448908099876579,-0.01388888888888895,-4.054054054054057,0.0,0.0036516797554019265,0.03997770242152221,9.200000000000001,-0.012013399561048854,0.017124992393438676,0.10066371681415931,-0.0859307376288242
10740,2021,3,0.88,"Albuquerque, NM",919682.0,58335.0,273566.96631686477,1208.2623561558833,2416.6666666666665,6.566666666666666,1036.0,375947.0,4421.670625,4.6895854344195556,False,False,False,False,False,4.141738221134145,0.5129152709439051,0.08535817245868893,0.026404606526239993,0.004767542785852444,0.0,-5.263157894736848,0.0,0.0,0.05484714153629189,8.700000000000001,-0.029463346194317785,0.12237973724394036,0.07415485278080691,-0.07051109755719354
