cbsa,metro_name_x,year,qtr,hpi_at_sa,hpi_po_sa,RegionID,RegionName_x,RegionType,StateName,zhvi_qtr,zhvi_yoy,zhvi_qoq,RegionName_y,zori_qtr,unemployment_rate,RegionName_x_x,inventory_qtr,metro_name_y,population,pop_yoy_growth,pop_velocity_3yr,pop_acceleration,sp500_qtr,index_sa,RegionName_y_y,median_income,income_moe,price_to_income_ratio,affordability_burden,hpi_3yr_chg,is_unaffordable,collapse_onset,prev_unaffordable,price_to_income_lag,price_to_income_5yr_chg,zhvi_yoy_fixed,zhvi_qoq_fixed,zhvi_yoy_lag,zhvi_qoq_lag,three-year_home_price_growth_trend,hpi_yoy,hpi_yoy_lag,hpi_3yr_chg_lag,pop_yoy_fixed,pop_velocity_fixed,pop_velocity_lag,pop_acceleration_fixed,pop_acceleration_lag,zori_yoy_fixed,zori_yoy_lag,unemployment_rate_lag,inv_qoq_fixed,inv_qoq_lag,sp500_yoy_fixed,sp500_yoy_lag,cum_onset
12420,"Austin-Round Rock-San Marcos, TX",2019,2,1.57,464.9,394355.0,"Austin, TX",msa,TX,322971.64687432477,0.0262194080456366,0.0047590679112483,"Austin, TX",1400.18877097048,2.56666666666667,"Austin, TX",9252.0,"Austin-Round Rock-Georgetown, TX",2227083.0,0.0284396607337716,0.0800512702132281,0.0047939074159588,2882.32777777778,1.57,"Austin, TX",76844.0,621.0,4.202952044067524,False,17.164179104477604,False,False,False,4.298688456608258,0.7323506689767068,0.026219408045636605,0.00475906791124836,0.03211546169168944,0.008479869129737638,-0.006429051028668186,0.039735099337748325,0.027210884353741527,23.77049180327868,0.028439660733771577,0.0,0.0,-0.004793907415958865,0.0022798457076069756,0.04683620335465588,0.017213280316001667,2.96666666666667,0.15539274861590924,0.23737373737373768,0.06629220382021028,0.12725771232385252,0
12420,"Austin-Round Rock-San Marcos, TX",2019,3,1.56,473.96,394355.0,"Austin, TX",msa,TX,325435.04213345575,0.0260219643736072,0.0076272802364274,"Austin, TX",1419.38571618138,2.86666666666667,"Austin, TX",9832.0,"Austin-Round Rock-Georgetown, TX",2227083.0,0.0284396607337716,0.0800512702132281,0.0047939074159588,2957.8528125,1.56,"Austin, TX",76844.0,621.0,4.235009137127892,False,16.417910447761198,False,False,False,4.332309290446288,0.6610825171291799,0.026021964373607265,0.007627280236427447,0.03560436737901296,0.007821184107060564,-0.005902669375743396,-0.006369426751592355,0.046666666666666634,23.62204724409449,0.028439660733771577,0.0,0.0,0.0,0.0,0.046469236794917324,0.031133183315111168,3.1,0.06268914829226113,0.1207725947521825,0.037988254372415486,0.15500598332389925,0
12420,"Austin-Round Rock-San Marcos, TX",2019,4,1.59,495.88,394355.0,"Austin, TX",msa,TX,330525.4447557237,0.0347088184891184,0.0156418392712008,"Austin, TX",1418.1163856593,2.5,"Austin, TX",8605.0,"Austin-Round Rock-Georgetown, TX",2227083.0,0.0284396607337716,0.0800512702132281,0.0047939074159588,3082.755625,1.59,"Austin, TX",76844.0,621.0,4.301252469362913,False,16.058394160583944,False,False,False,4.363133936068797,0.5985813604451602,0.03470881848911844,0.015641839271200775,0.034335357841771996,0.007115061173144754,-0.005145213241885841,0.006329113924050667,0.04635761589403975,18.796992481203013,0.028439660733771577,0.0,0.0,0.0,0.0,0.043350482041372373,0.04312930179084895,2.8,-0.1247965825874695,-0.0971580932561591,0.14221561000009708,0.036741721225998614,0
12420,"Austin-Round Rock-San Marcos, TX",2020,1,1.61,501.21,394355.0,"Austin, TX",msa,TX,338346.29317403265,0.0525893199939355,0.0236618648954212,"Austin, TX",1429.61206284549,3.16666666666667,"Austin, TX",7143.33333333333,"Austin-Round Rock-San Marcos, TX",2300172.0,0.0328182649681219,0.0873075786761839,0.0043786042343503,3055.86919354839,1.61,"Austin, TX",80852.0,688.0,4.184760960446651,False,8.783783783783793,False,False,False,4.183044650500009,0.389401194228828,0.05258931999393557,0.023661864895421214,0.030019680713820884,0.006272758652359656,-0.0044679962569923485,-0.012269938650306678,0.04487179487179471,19.852941176470562,0.0328182649681219,0.004378604234350325,0.004793907415958865,0.004378604234350325,0.004793907415958865,0.04131076657850197,0.04609151931491495,3.06666666666667,-0.1698624830524892,-0.13480515738673138,0.12306660146926007,-0.004562795426326538,0
12420,"Austin-Round Rock-San Marcos, TX",2020,2,1.58,504.06,394355.0,"Austin, TX",msa,TX,344671.94920020824,0.0671894964647703,0.0186958041326077,"Austin, TX",1427.3459894003,10.2666666666667,"Austin, TX",8062.33333333333,"Austin-Round Rock-San Marcos, TX",2300172.0,0.0328182649681219,0.0873075786761839,0.0043786042343503,2931.68761904762,1.58,"Austin, TX",80852.0,688.0,4.262998431704945,False,7.48299319727892,False,False,False,4.202952044067524,0.30025966438139884,0.06718949646477035,0.01869580413260774,0.026219408045636605,0.00475906791124836,-0.0039091211209016305,0.006369426751592355,0.039735099337748325,17.164179104477604,0.0328182649681219,0.0,0.0,-0.004378604234350325,-0.004793907415958865,0.01939539795837475,0.04683620335465588,2.56666666666667,0.1286514232384508,0.15539274861590924,0.017124992393438232,0.06629220382021028,0
12420,"Austin-Round Rock-San Marcos, TX",2020,3,1.61,529.75,394355.0,"Austin, TX",msa,TX,350606.1480637049,0.0773460220056045,0.017216947527255,"Austin, TX",1422.81830125428,6.8,"Austin, TX",8071.33333333333,"Austin-Round Rock-San Marcos, TX",2300172.0,0.0328182649681219,0.0873075786761839,0.0043786042343503,3319.8340625,1.61,"Austin, TX",80852.0,688.0,4.336394252012379,False,7.333333333333347,False,False,False,4.235009137127892,0.22049179676278552,0.07734602200560459,0.017216947527255,0.026021964373607265,0.007627280236427447,-0.0033352556510690117,0.03205128205128216,-0.006369426751592355,16.417910447761198,0.0328182649681219,0.0,0.0,0.0,0.0,0.0024183596000491026,0.046469236794917324,2.86666666666667,0.0011163021457807343,0.06268914829226113,0.12237973724394036,0.037988254372415486,0
12420,"Austin-Round Rock-San Marcos, TX",2020,4,1.68,565.03,394355.0,"Austin, TX",msa,TX,367314.50914771314,0.1113047875003345,0.0476556420253427,"Austin, TX",1409.57182115428,5.03333333333333,"Austin, TX",5939.0,"Austin-Round Rock-San Marcos, TX",2300172.0,0.0328182649681219,0.0873075786761839,0.0043786042343503,3554.5015625,1.68,"Austin, TX",80852.0,688.0,4.543047904167035,False,11.258278145695355,False,False,False,4.301252469362913,0.19512216439567442,0.11130478750033457,0.04765564202534267,0.03470881848911844,0.015641839271200775,-0.002511902670969819,0.05660377358490565,0.006329113924050667,16.058394160583944,0.0328182649681219,0.0,0.0,0.0,0.0,-0.006025291429833879,0.043350482041372373,2.5,-0.26418600809449055,-0.1247965825874695,0.15302735438200687,0.14221561000009708,0
12420,"Austin-Round Rock-San Marcos, TX",2021,1,1.77,609.52,394355.0,"Austin, TX",msa,TX,392175.3973355509,0.1590947063629586,0.0676828373742246,"Austin, TX",1440.79014552805,5.13333333333333,"Austin, TX",4748.0,"Austin-Round Rock-San Marcos, TX",2359313.0,0.0257115554836769,0.089501855694097,-0.007106709484445,3865.7068852459,1.77,"Austin, TX",85398.0,783.0,4.592325315997458,False,13.461538461538458,False,False,False,4.184760960446651,0.06508390661417263,0.15909470636295864,0.06768283737422465,0.05258931999393557,0.023661864895421214,-0.0009844029168061313,0.0993788819875776,-0.012269938650306678,8.783783783783793,0.025711555483676873,-0.0071067094844450285,0.004378604234350325,-0.0071067094844450285,0.004378604234350325,0.00781896220175371,0.04131076657850197,3.16666666666667,-0.2005388112476848,-0.1698624830524892,0.26501058795554977,0.12306660146926007,0
12580,"Baltimore-Columbia-Towson, MD",2019,2,0.8,253.66,394358.0,"Baltimore, MD",msa,MD,296524.963804555,0.0301416764654105,0.0126064506573009,"Baltimore, MD",1445.37707020537,3.36666666666667,"Baltimore, MD",12856.6666666667,"Baltimore-Columbia-Towson, MD",2800053.0,-0.00024636319719451,0.0021266155854222,-0.000973841993652913,2882.32777777778,0.8,,81598.0,596.0,3.633973428326123,False,1.2658227848101333,False,False,False,3.6581948604767818,0.05303804902235765,0.03014167646541055,0.012606450657298485,0.03153095078434953,0.009350119196560813,0.0016594603349407958,-0.024390243902438935,0.012345679012345512,6.493506493506485,-0.00024636319719451016,0.0,0.0,0.000973841993652913,0.0009174093271702155,0.023726219508294788,0.01731317434837698,3.86666666666667,0.18023255813954164,0.1676759061833688,0.06629220382021028,0.12725771232385252,0
12580,"Baltimore-Columbia-Towson, MD",2019,3,0.79,256.07,394358.0,"Baltimore, MD",msa,MD,297899.490851016,0.0285708257448926,0.0046354513590507,"Baltimore, MD",1452.89540516241,3.56666666666667,"Baltimore, MD",13352.3333333333,"Baltimore-Columbia-Towson, MD",2800053.0,-0.00024636319719451,0.0021266155854222,-0.000973841993652913,2957.8528125,0.79,,81598.0,596.0,3.650818535393221,False,2.5974025974025983,False,False,False,3.680764999334888,0.03226296000612949,0.02857082574489267,0.004635451359053189,0.035482349942211444,0.00616974757193911,0.0014732024108576876,-0.03658536585365846,-0.012048192771084376,3.797468354430378,-0.00024636319719451016,0.0,0.0,0.0,0.0,0.027826296879806423,0.015315016663747905,3.93333333333333,0.03855327975109657,0.0012416916222335317,0.037988254372415486,0.15500598332389925,0
