cbsa,metro_name_x,year,qtr,index_nsa,index_sa,metro_name_y,hpi_at_sa,RegionID,RegionName_x,RegionType,StateName,zhvi_yoy,zhvi_qoq,name_short,metro_name,population,pop_yoy_growth,pop_velocity_3yr,pop_accleration,RegionName_y,zhvi_qtr,median_income,income_moe,price_to_income_ratio,affordability_burden,hpi_3yr_chg,is_unaffordable,collapse_onset,price_to_income_lag,price_to_income_5yr_chg,zhvi_yoy_lag,affordability_momentum,pop_velocity_lag,pop_acceleration_lag,hpi_yoy,hpi_yoy_lag,price_to_income_ratio_full,zhvi_qoq_lag,zhvi_yoy_fixed,zhvi_qoq_fixed,pop_yoy_fixed,pop_velocity_fixed,pop_acceleration_fixed,metro_prefix,metro_clean,state_x,state_list,cum_onset
12420.0,"Austin-Round Rock-San Marcos, TX",2016.0,3.0,400.99,397.92,"Austin-Round Rock-San Marcos, TX",1.34,,,,,,,,"Austin-Round Rock-Georgetown, TX",2062016.0,0.0299090870041665,0.0948864103986853,-0.000808037147749685,"Austin, TX",293020.7896889005,66093.0,508.0,4.433461783984696,False,31.691818903891967,False,False,4.307837129656687,0.738959634469837,0.09970936776047368,0.004411151490370135,0.0,0.0,0.09258649093904459,0.09205397301349327,4.433461783984696,0.020147945487781094,0.07225115495321788,0.012797235723727596,0.0299090870041665,0.0,0.0,austin,austin-round rock-san marcos,TX,['TX'],0
12420.0,"Austin-Round Rock-San Marcos, TX",2016.0,4.0,397.97,404.27,"Austin-Round Rock-San Marcos, TX",1.37,,,,,,,,"Austin-Round Rock-Georgetown, TX",2062016.0,0.0299090870041665,0.0948864103986853,-0.000808037147749685,"Austin, TX",296198.079873781,66093.0,508.0,4.481534805104641,False,31.68403908794788,False,False,4.391299592295803,0.8814156589105284,0.09600447589074279,0.0020123035296519863,0.0,0.0,0.0876829530779164,0.09269439952961944,4.481534805104641,0.01937456318033237,0.06327728199217142,0.010843224428730203,0.0299090870041665,0.0,0.0,austin,austin-round rock-san marcos,TX,['TX'],0
12420.0,"Austin-Round Rock-San Marcos, TX",2017.0,1.0,403.76,405.37,"Austin-Round Rock-San Marcos, TX",1.48,,,,,,,,"Austin-Round Rock-Georgetown, TX",2115475.0,0.0259255990254197,0.0890661205570031,-0.0039834879787468,"Austin, TX",301294.7648184207,69717.0,545.0,4.321682872447476,False,26.67020811199301,False,False,4.3036825339094475,0.9551065057263424,0.08840338479118892,-0.00011408642186395081,-0.000808037147749685,-0.000808037147749685,0.05796534084977556,0.09687392648574389,4.321682872447476,0.02108051509500042,0.05924370767089071,0.017207015476979226,0.025925599025419688,-0.003983487978746814,-0.003983487978746814,austin,austin-round rock-san marcos,TX,['TX'],0
12420.0,"Austin-Round Rock-San Marcos, TX",2017.0,2.0,420.77,414.19,"Austin-Round Rock-San Marcos, TX",1.47,,,,,,,,"Austin-Round Rock-Georgetown, TX",2115475.0,0.0259255990254197,0.0890661205570031,-0.0039834879787468,"Austin, TX",304927.0063814552,69717.0,545.0,4.37378266967103,False,27.643378840642228,False,False,4.3774426189232445,1.0429093721806697,0.08003337113255027,-0.0019114718557698767,0.0,0.000808037147749685,0.0673074445332027,0.07857142857142851,4.37378266967103,0.01713883039295494,0.05394989034236275,0.01205544200286246,0.025925599025419688,0.0,0.003983487978746814,austin,austin-round rock-san marcos,TX,['TX'],0
12420.0,"Austin-Round Rock-San Marcos, TX",2017.0,3.0,421.79,419.01,"Austin-Round Rock-San Marcos, TX",1.5,,,,,,,,"Austin-Round Rock-Georgetown, TX",2115475.0,0.0259255990254197,0.0890661205570031,-0.0039834879787468,"Austin, TX",306276.5763379224,69717.0,545.0,4.393140501426085,False,25.64017991004497,False,False,4.433461783984696,1.1042402153580873,0.07225115495321788,-0.003293138000652206,0.0,0.0,0.05300060313630883,0.09258649093904459,4.393140501426085,0.012797235723727596,0.04523838278879655,0.004425878745482281,0.025925599025419688,0.0,0.0,austin,austin-round rock-san marcos,TX,['TX'],0
12420.0,"Austin-Round Rock-San Marcos, TX",2017.0,4.0,421.56,428.26,"Austin-Round Rock-San Marcos, TX",1.51,,,,,,,,"Austin-Round Rock-Georgetown, TX",2115475.0,0.0259255990254197,0.0890661205570031,-0.0039834879787468,"Austin, TX",308834.19235318364,69717.0,545.0,4.429826188062935,False,25.90327796560341,False,False,4.481534805104641,1.1535583243675704,0.06327728199217142,-0.004497646325296912,0.0,0.0,0.05934152917604574,0.0876829530779164,4.429826188062935,0.010843224428730203,0.0426610209113687,0.008350674562978444,0.025925599025419688,0.0,0.0,austin,austin-round rock-san marcos,TX,['TX'],0
12420.0,"Austin-Round Rock-San Marcos, TX",2018.0,1.0,429.43,430.7,"Austin-Round Rock-San Marcos, TX",1.56,,,,,,,,"Austin-Round Rock-Georgetown, TX",2165497.0,0.0236457533178127,0.081594438733871,-0.0022798457076069,"Austin, TX",312073.53523600457,73213.0,538.0,4.262542652752988,False,23.296690713386003,False,False,4.321682872447476,0.9953817811432208,0.05924370767089071,-0.0053702368148028255,-0.003983487978746814,-0.003983487978746814,0.06248612378814422,0.05796534084977556,4.262542652752988,0.017207015476979226,0.03577483473395171,0.010488938605335507,0.023645753317812712,-0.0022798457076069756,-0.0022798457076069756,austin,austin-round rock-san marcos,TX,['TX'],0
12420.0,"Austin-Round Rock-San Marcos, TX",2018.0,2.0,443.07,435.6,"Austin-Round Rock-San Marcos, TX",1.51,,,,,,,,"Austin-Round Rock-Georgetown, TX",2165497.0,0.0236457533178127,0.081594438733871,-0.0022798457076069,"Austin, TX",314719.8779736604,73213.0,538.0,4.298688456608258,False,21.06725958866036,False,False,4.37378266967103,1.0176257596519553,0.05394989034236275,-0.005944030307041632,0.0,0.003983487978746814,0.051691252806683075,0.0673074445332027,4.298688456608258,0.01205544200286246,0.03211546169168944,0.008479869129737638,0.023645753317812712,0.0,0.0022798457076069756,austin,austin-round rock-san marcos,TX,['TX'],0
12420.0,"Austin-Round Rock-San Marcos, TX",2018.0,3.0,450.62,448.43,"Austin-Round Rock-San Marcos, TX",1.57,,,,,,,,"Austin-Round Rock-Georgetown, TX",2165497.0,0.0236457533178127,0.081594438733871,-0.0022798457076069,"Austin, TX",317181.3600814441,73213.0,538.0,4.332309290446288,False,23.127402526084584,False,False,4.393140501426085,0.9859507044796119,0.04523838278879655,-0.006473258078953999,0.0,0.0,0.07021312140521707,0.05300060313630883,4.332309290446288,0.004425878745482281,0.03560436737901296,0.007821184107060564,0.023645753317812712,0.0,0.0,austin,austin-round rock-san marcos,TX,['TX'],0
12420.0,"Austin-Round Rock-San Marcos, TX",2018.0,4.0,443.45,451.16,"Austin-Round Rock-San Marcos, TX",1.58,,,,,,,,"Austin-Round Rock-Georgetown, TX",2165497.0,0.0236457533178127,0.081594438733871,-0.0022798457076069,"Austin, TX",319438.1248614048,73213.0,538.0,4.363133936068797,False,21.383986224709428,False,False,4.429826188062935,0.9593727627673112,0.0426610209113687,-0.006757821817433076,0.0,0.0,0.05347218979124846,0.05934152917604574,4.363133936068797,0.008350674562978444,0.034335357841771996,0.007115061173144754,0.023645753317812712,0.0,0.0,austin,austin-round rock-san marcos,TX,['TX'],0
