model,mean_pr_auc,mean_auc
Model 1 XGBoost,0.586776047118221,0.9142230027407839
Model 1 Logistic Regression,0.39755369032036764,0.8464821003188991
Model 2 XGBoost,0.586776047118221,0.9142230027407839
Model 2 Logistic Regression,0.39755369032036764,0.8464821003188991
