feature,mean_abs_shap
price_to_income_lag,2.86054
sp500_yoy_lag,0.42199793
unemployment_rate_lag,0.40271938
zhvi_qoq_lag,0.19555248
three-year_home_price_growth_trend,0.19430125
zhvi_yoy_lag,0.1722766
price_to_income_5yr_chg,0.16418225
hpi_yoy_lag,0.13962644
inv_qoq_lag,0.070102155
hpi_3yr_chg_lag,0.058200948
zori_yoy_lag,0.014734941
pop_acceleration_lag,0.0024810554
pop_velocity_lag,0.0
