quarters_before_onset,events,median_rank,median_percentile,pct_in_top_10,pct_in_top_20
0,57,13.0,0.9402985074626866,0.43859649122807015,0.7543859649122807
1,36,21.0,0.8995148217741258,0.2222222222222222,0.4722222222222222
2,33,21.0,0.8947368421052632,0.30303030303030304,0.48484848484848486
3,27,17.0,0.9203980099502488,0.2962962962962963,0.5555555555555556
4,27,74.0,0.6368159203980099,0.07407407407407407,0.2222222222222222
5,32,33.5,0.8466981132075472,0.1875,0.3125
6,9,16.0,0.9171270718232044,0.3333333333333333,0.5555555555555556
7,7,20.0,0.8947368421052632,0.14285714285714285,0.5714285714285714
8,9,12.0,0.9382022471910112,0.3333333333333333,0.6666666666666666
