feature,mean_abs_shap
price_to_income_lag,1.2090888
zhvi_qoq_lag,0.6774794
unemployment_rate_lag,0.54908353
three-year_home_price_growth_trend,0.49080327
zhvi_yoy_lag,0.28082427
zori_yoy_lag,0.279346
sp500_yoy_lag,0.18922973
pop_velocity_lag,0.073596865
pop_acceleration_lag,0.06289751
inv_qoq_lag,0.05923209
hpi_3yr_chg_lag,0.02501028
hpi_yoy_lag,0.022818381
price_to_income_5yr_chg,0.020027414
